observed_Vp,observed_Vs,observed_rho,observed_phi,GD1_Vp,GD1_Vs,GD1_rho,GD1_phi,GD_Vp,GD_Vs,GD_rho,GD_phi
6771.629257,3348.870699,2705.037504,0.008650293,6564.291726,3241.916684,2704.365017,0.017058798,6907.100418,3395.233099,2721.959275,0.004557272
4665.10027,1974.3694,2612.959869,0.0392705,5023.310675,1656.936076,2554.195911,0.037542039,4690.785197,1722.425745,2608.538687,0.036971693
7085.69104,3348.02023,2668.598201,0.013051231,7009.578881,3363.860315,2656.320447,0.015313068,7084.833731,3234.632579,2657.673219,0.015988815
3553.959423,1991.408291,2380.01336,0.143340246,3381.398109,1867.418265,2353.138024,0.172530196,3479.717623,1986.809899,2375.816005,0.149951479
3633.181167,2158.396453,2422.951693,0.130047557,3657.776375,2070.655805,2398.190515,0.13727354,3765.843926,2099.120582,2409.180028,0.123907213
3533.21967,1920.572075,2377.727794,0.14348458,3450.75007,1901.673312,2397.226698,0.148714359,3598.960693,1896.460095,2379.201977,0.132227162
6811.342583,3292.903366,2688.807458,0.006270717,6619.520208,3095.650353,2687.596394,0.007386608,6649.244172,3433.871759,2705.034994,0.006758613
4901.869755,2307.328036,2610.537177,0.021107118,4978.046219,1676.413771,2537.814584,0.024968684,4663.473812,1870.184122,2598.707857,0.033158658
7178.801827,3290.08541,2627.463402,0.003183642,7024.884884,3344.672099,2664.344718,0.015011253,7178.874846,3197.163952,2620.733978,0.006527451
3527.957225,2014.336567,2371.40789,0.147848965,3387.304958,1931.960715,2356.795175,0.166381029,3439.069736,1983.772907,2384.336675,0.149541977
3642.514116,2135.024465,2417.146088,0.135198022,3636.218905,2106.142724,2412.058745,0.137079692,3770.793731,2083.344553,2413.597909,0.127072457
3487.903191,1865.740064,2355.710904,0.156268181,3341.37329,1915.502127,2381.614363,0.167360115,3598.284464,1799.867142,2354.245784,0.148182083
6782.310166,3378.452284,2696.956337,0.013794617,6946.434217,3048.219999,2691.451318,0.010893349,6624.232305,3407.762107,2696.779687,0.012128344
4725.804501,2008.268637,2608.324927,0.038814781,5058.055351,2344.824869,2597.851532,0.031352754,4868.193875,1537.688198,2572.91108,0.035276847
7061.200717,3376.547157,2656.286167,0.014541649,6991.929601,3363.25498,2660.684285,0.011363836,7075.154967,3272.325482,2636.132068,0.010723095
3567.614668,1995.252412,2404.819579,0.132612661,3473.937332,1909.942367,2369.056001,0.159458778,3502.739947,1949.309475,2381.251299,0.139429733
3774.472781,2244.155226,2417.071906,0.124224226,3552.609081,2085.777397,2398.680705,0.132587443,3874.477384,2166.534734,2412.392887,0.1239944
3544.569873,1938.777795,2378.093225,0.15587713,3354.666392,1901.229424,2366.152954,0.178654787,3577.792924,1837.436236,2349.798842,0.153161152
6490.211536,3195.84099,2690.830681,0.01763194,6863.90143,3032.632779,2705.139095,0.006844106,6451.622856,3239.251254,2688.051811,0.016562884
5072.409227,2333.121014,2571.319251,0.027666071,5280.666172,2481.334973,2605.477422,0.029119077,5300.965036,2368.60242,2566.38016,0.028273394
7102.441333,3341.925537,2683.785844,0.011442831,6976.331452,3331.026818,2660.243377,0.008809936,7084.222189,3209.786652,2640.410396,0.006234964
3502.722899,2018.814508,2410.598005,0.137875282,3504.426751,1878.414069,2355.340132,0.154166973,3503.371267,1961.930035,2387.030126,0.149197512
3702.622769,2206.689261,2431.573369,0.13477644,3708.544595,2089.556636,2389.135964,0.132824428,3698.588392,2210.205265,2426.997129,0.139736133
3592.965916,1941.82781,2379.901741,0.146569256,3401.330283,1871.521781,2362.081412,0.161350542,3666.351816,1962.583686,2362.407327,0.136725959
5905.237757,3114.875332,2697.327449,0.025634183,6622.59172,3106.752265,2686.426238,0.01326399,6246.537531,3203.604855,2704.081297,0.020894467
4753.701648,2441.294044,2628.69864,0.04139914,5802.104444,2898.845381,2630.067291,0.023891173,5326.858056,2733.209946,2632.248596,0.019926945
7053.399166,3280.64462,2665.331104,0.006436684,6898.0695,3239.815343,2649.773991,0.011224871,6991.223496,3194.799756,2641.929095,0.0057421
3645.327365,1938.734179,2394.123164,0.12876125,3549.665684,1877.331763,2377.277593,0.153492423,3557.177611,1933.53637,2378.152877,0.140821499
3662.444677,2211.473194,2435.502159,0.144894247,3687.525133,2088.120369,2393.202482,0.121310718,3700.249654,2256.690404,2427.306173,0.144380698
3577.842431,1955.076667,2379.136876,0.149683383,3480.251437,1906.60008,2369.460241,0.15988702,3714.250196,1898.164011,2360.210749,0.136770858
6147.691909,3369.985309,2706.564631,0.021824247,6763.617754,3169.925521,2708.643516,0.012231729,6490.435895,3398.715382,2704.831254,0.010606173
5030.990592,2839.488332,2611.211411,0.02112871,5903.291495,2779.238228,2624.842032,0.007770436,5283.960795,2841.616251,2599.027335,0.013185918
7124.104505,3255.509151,2653.128344,0.00078842,6903.829228,3232.651054,2661.619792,0.005497017,6980.678043,3182.93938,2645.995644,0.0027088
3598.578794,1880.79289,2403.567221,0.130813226,3571.892638,1883.534741,2383.123573,0.143563999,3529.534582,1923.519108,2395.596424,0.139323315
3709.330678,2134.037696,2438.880504,0.145375488,3713.605176,2177.266352,2427.940687,0.118778923,3712.432032,2102.066725,2427.775421,0.141359344
3461.121264,2066.422333,2385.904188,0.158901592,3577.618863,1873.353367,2365.539311,0.142437931,3564.788295,1999.994088,2374.604412,0.158069559
6115.620376,3060.02226,2692.508265,0.027221113,6631.226231,3158.200939,2688.406989,0.016725387,6278.925125,3126.519783,2712.144798,0.020978397
5735.807579,2824.620821,2604.926707,0.001129135,6018.774589,3048.780893,2641.652292,-0.007011343,5342.604466,2876.294134,2640.390754,0.032487223
7036.865602,3291.460005,2664.762496,0.001981629,6868.271139,3241.086551,2651.180645,0.006190969,6844.28172,3200.962918,2645.65348,0.014816966
3611.91788,1866.742275,2397.661873,0.140427255,3575.827033,1872.586922,2396.875121,0.141367079,3526.03681,1953.935439,2402.168939,0.149741848
3721.67135,2087.71269,2428.784491,0.13638271,3774.885739,2121.428491,2418.835664,0.117252498,3711.557722,2064.522257,2425.255138,0.135313614
3588.280158,2021.251428,2396.847791,0.147790031,3575.871997,1897.531203,2356.306304,0.14145385,3628.346276,1969.038799,2373.226486,0.140971987
6171.256178,3114.794509,2690.541467,0.023105963,6214.223097,3232.51499,2690.590184,0.023269002,6456.679898,3190.812901,2711.87791,0.015838545
